"list_name","name","label"
"countries",1,"Åland Islands (ALA)"
"countries",2,"Afghanistan (AFG)"
"countries",3,"Albania (ALB)"
"countries",4,"Algeria (DZA)"
"countries",5,"American Samoa (ASM)"
"countries",6,"Andorra (AND)"
"countries",7,"Angola (AGO)"
"countries",8,"Anguilla (AIA)"
"countries",9,"Antarctica (ATA)"
"countries",10,"Antigua + Barbuda (ATG)"
"countries",11,"Argentina (ARG)"
"countries",12,"Armenia (ARM)"
"countries",13,"Aruba (ABW)"
"countries",14,"Australia (AUS)"
"countries",15,"Austria (AUT)"
"countries",16,"Azerbaijan (AZE)"
"countries",17,"Bahamas (BHS)"
"countries",18,"Bahrain (BHR)"
"countries",19,"Bangladesh (BGD)"
"countries",20,"Barbados (BRB)"
"countries",21,"Belarus (BLR)"
"countries",22,"Belgium (BEL)"
"countries",23,"Belize (BLZ)"
"countries",24,"Benin (BEN)"
"countries",25,"Bermuda (BMU)"
"countries",26,"Bhutan (BTN)"
"countries",27,"Bolivia (BOL)"
"countries",28,"Bosnia + Herzegovina (BIH)"
"countries",29,"Botswana (BWA)"
"countries",30,"Bouvet Island (BVT)"
"countries",31,"Brazil (BRA)"
"countries",32,"British Indian Ocean Territory (IOT)"
"countries",33,"British Virgin Islands (VGB)"
"countries",34,"Brunei (BRN)"
"countries",35,"Bulgaria (BGR)"
"countries",36,"Burkina Faso (BFA)"
"countries",37,"Burundi (BDI)"
"countries",38,"Cambodia (KHM)"
"countries",39,"Cameroon (CMR)"
"countries",40,"Canada (CAN)"
"countries",41,"Cape Verde (CPV)"
"countries",42,"Caribbean Netherlands (BES)"
"countries",43,"Cayman Islands (CYM)"
"countries",44,"Central African Republic (CAF)"
"countries",45,"Chad (TCD)"
"countries",46,"Chile (CHL)"
"countries",47,"China (CHN)"
"countries",48,"Christmas Island (CXR)"
"countries",49,"Cocos (Keeling) Islands (CCK)"
"countries",50,"Colombia (COL)"
"countries",51,"Comoros (COM)"
"countries",52,"Congo - Brazzaville (COG)"
"countries",53,"Congo - Kinshasa (COD)"
"countries",54,"Cook Islands (COK)"
"countries",55,"Costa Rica (CRI)"
"countries",56,"Croatia (HRV)"
"countries",57,"Cuba (CUB)"
"countries",58,"Curaçao (CUW)"
"countries",59,"Cyprus (CYP)"
"countries",60,"Czechia (CZE)"
"countries",61,"Côte d’Ivoire (CIV)"
"countries",62,"Denmark (DNK)"
"countries",63,"Djibouti (DJI)"
"countries",64,"Dominica (DMA)"
"countries",65,"Dominican Republic (DOM)"
"countries",66,"Ecuador (ECU)"
"countries",67,"Egypt (EGY)"
"countries",68,"El Salvador (SLV)"
"countries",69,"Equatorial Guinea (GNQ)"
"countries",70,"Eritrea (ERI)"
"countries",71,"Estonia (EST)"
"countries",72,"Eswatini (SWZ)"
"countries",73,"Ethiopia (ETH)"
"countries",74,"Falkland Islands (FLK)"
"countries",75,"Faroe Islands (FRO)"
"countries",76,"Fiji (FJI)"
"countries",77,"Finland (FIN)"
"countries",78,"France (FRA)"
"countries",79,"French Guiana (GUF)"
"countries",80,"French Polynesia (PYF)"
"countries",81,"French Southern Territories (ATF)"
"countries",82,"Gabon (GAB)"
"countries",83,"Gambia (GMB)"
"countries",84,"Georgia (GEO)"
"countries",85,"Germany (DEU)"
"countries",86,"Ghana (GHA)"
"countries",87,"Gibraltar (GIB)"
"countries",88,"Greece (GRC)"
"countries",89,"Greenland (GRL)"
"countries",90,"Grenada (GRD)"
"countries",91,"Guadeloupe (GLP)"
"countries",92,"Guam (GUM)"
"countries",93,"Guatemala (GTM)"
"countries",94,"Guernsey (GGY)"
"countries",95,"Guinea (GIN)"
"countries",96,"Guinea-Bissau (GNB)"
"countries",97,"Guyana (GUY)"
"countries",98,"Haiti (HTI)"
"countries",99,"Heard + McDonald Islands (HMD)"
"countries",100,"Honduras (HND)"
